label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent
union_strongtrend_t008__hold8_t30_s10,maker_mid,16,0.10281151337615209,0.625,0.0064257195860095056,-0.023836239899999914,0.017170346121540545,5.0,8,0.06186465229309448,0.625,0.00773308153663681
baseline_tc15_tighter_volume_cap,maker_mid,5,0.10204504257173018,0.8,0.020409008514346037,-0.01698500000000024,0.03567680507583354,8.0,2,0.0637745468546427,1.0,0.03188727342732135
union_strongtrend_t008__hold8_t35_s12,maker_mid,16,0.0848443676178338,0.6875,0.005302772976114613,-0.027780335855999753,0.019526139318838235,5.8125,8,0.038840790067407795,0.625,0.004855098758425974
union_strongtrend_t008__shared_default,maker_mid,16,0.08069519221162423,0.5625,0.0050434495132265144,-0.03368150977500006,0.02050234271355032,7.75,8,0.04208710559975963,0.5,0.005260888199969954
union_strongtrend_t008_vwap_003_score43__shared_default,maker_mid,5,0.07734745068572785,0.6,0.01546949013714557,-0.00023982052033618423,0.027670427196759762,6.8,4,0.09209196782544612,0.75,0.02302299195636153
union_strongtrend_t008_vwap_0025__hold8_t35_s12,maker_mid,7,0.07641163618131686,0.7142857142857143,0.010915948025902409,-0.013988000000000134,0.022738541893931197,6.0,3,0.07442442082560471,1.0,0.024808140275201573
union_strongtrend_t008_vwap_0025__shared_default,maker_mid,7,0.07287039517731733,0.5714285714285714,0.010410056453902475,-0.014980801622281869,0.023593119309672,7.714285714285714,3,0.08567017947966371,0.6666666666666666,0.028556726493221236
union_strongtrend_t009_vwap_003__hold8_t35_s12,maker_mid,9,0.07180165102361755,0.6666666666666666,0.007977961224846394,-0.013988000000000134,0.020084085051623356,5.666666666666667,5,0.0698144356679054,0.8,0.01396288713358108
union_strongtrend_t008__hold12_t35_s12,maker_mid,16,0.0704627093513427,0.5625,0.004403919334458919,-0.02778033585599995,0.02050234271355032,7.625,8,0.031098105599759895,0.5,0.003887263199969987
union_strongtrend_t008_vwap_003__hold8_t35_s12,maker_mid,9,0.06785386764880619,0.6666666666666666,0.007539318627645132,-0.013988000000000134,0.019369705478397697,5.666666666666667,5,0.06586665229309405,0.8,0.01317333045861881
union_strongtrend_t008_vwap_003_score43__hold8_t35_s12,maker_mid,5,0.06586665229309394,0.8,0.013173330458618788,0.0,0.024885939730369337,5.2,4,0.07985465229309405,1.0,0.019963663073273512
union_strongtrend_t009_vwap_003__shared_default,maker_mid,9,0.0627882066515576,0.5555555555555556,0.006976467405728622,-0.016984999999999993,0.020748756374977317,7.555555555555555,5,0.07558799095390396,0.6,0.015117598190780793
union_strongtrend_t008_vwap_003__shared_default,maker_mid,9,0.06230718352309976,0.5555555555555556,0.006923020391455529,-0.016984999999999962,0.020916642959725708,7.555555555555555,5,0.07510696782544612,0.6,0.015021393565089225
union_strongtrend_t008_vwap_003_score43__hold12_t35_s12,maker_mid,5,0.05812396782544604,0.6,0.01162479356508921,-0.00023982052033622833,0.027670427196759762,6.8,4,0.07211196782544615,0.75,0.01802799195636154
union_strongtrend_t008_vwap_003_score43__hold8_t30_s10,maker_mid,5,0.0578746522930943,0.8,0.011574930458618859,0.0,0.01962803973562723,5.0,4,0.06986465229309433,1.0,0.01746616307327358
union_strongtrend_t008_vwap_0025__hold12_t35_s12,maker_mid,7,0.05364691231703554,0.5714285714285714,0.0076638446167193635,-0.014224465910897913,0.023593119309672,7.714285714285714,3,0.06569017947966371,0.6666666666666666,0.021896726493221236
union_strongtrend_t008_vwap_0025__hold8_t30_s10,maker_mid,7,0.04722215104517324,0.5714285714285714,0.006746021577881891,-0.013513810019212188,0.01735387172867933,5.285714285714286,3,0.06443442082560501,1.0,0.02147814027520167
union_strongtrend_t009_vwap_003__hold12_t35_s12,maker_mid,9,0.04656172379127581,0.5555555555555556,0.005173524865697312,-0.014224465910897913,0.020748756374977317,7.444444444444445,5,0.058604990953903986,0.6,0.011720998190780797
union_strongtrend_t008_vwap_003__hold12_t35_s12,maker_mid,9,0.04608070066281797,0.5555555555555556,0.005120077851424219,-0.014224465910897913,0.020916642959725708,7.444444444444445,5,0.05812396782544616,0.6,0.011624793565089232
union_strongtrend_t008_vwap_003__hold8_t30_s10,maker_mid,9,0.04066238251266259,0.5555555555555556,0.004518042501406954,-0.013513810019212188,0.0151816286832018,5.111111111111111,5,0.05787465229309434,0.8,0.011574930458618867
union_strongtrend_t008_vwap_003_close075__hold8_t35_s12,maker_mid,8,0.03488886764880615,0.625,0.004361108456100769,-0.013988000000000134,0.01561215295641555,6.25,4,0.03290165229309401,0.75,0.008225413073273503
union_strongtrend_t009_vwap_003__hold8_t30_s10,maker_mid,9,0.02324215104517312,0.4444444444444444,0.0025824612272414577,-0.017062622350485425,0.014355221001354466,4.555555555555555,5,0.04045442082560488,0.6,0.008090884165120975
union_strongtrend_t008_vwap_003_close075__shared_default,maker_mid,8,0.01935218352309979,0.5,0.002419022940387474,-0.016985000000000087,0.017352457622909566,8.375,4,0.03215196782544616,0.5,0.00803799195636154
union_base__hold12_t35_s12,maker_mid,35,0.015116937626429223,0.37142857142857144,0.0004319125036122635,-0.04704407933933676,0.013307997085614929,6.457142857142857,12,0.04344616386500939,0.4166666666666667,0.0036205136554174496
union_base__hold8_t30_s10,maker_mid,36,0.014122425773890173,0.3888888888888889,0.0003922896048302826,-0.04915705769677705,0.011017259122817896,4.638888888888889,12,0.05438370027157901,0.5,0.004531975022631584
union_strongtrend_t008_vwap_003_close075__hold12_t35_s12,maker_mid,8,0.013115700662817937,0.5,0.0016394625828522421,-0.014224465910897913,0.017352457622909566,8.25,4,0.02515896782544612,0.5,0.00628974195636153
union_strongtrend_t008_vwap_003_close075__hold8_t30_s10,maker_mid,8,0.012692382512662411,0.5,0.0015865478140828014,-0.013513810019212188,0.010900566561820169,5.625,4,0.029904652293094174,0.75,0.0074761630732735436
union_base__shared_default,maker_mid,35,0.012050002211149826,0.37142857142857144,0.0003442857774614236,-0.053555043208901136,0.013307997085614929,6.771428571428571,12,0.05443516386500912,0.4166666666666667,0.0045362636554174265
union_base__hold8_t35_s12,maker_mid,36,-0.04140815736337542,0.4166666666666667,-0.001150226593427095,-0.0870962874547904,0.01206427832161687,5.111111111111111,12,0.03135983804589233,0.5,0.0026133198371576945
union_strongtrend_t008__hold8_t30_s10,maker_optimistic,16,0.1521682387693648,0.6875,0.0095105149230853,-0.02108170359099967,0.018551613132112114,5.25,8,0.07453092464423186,0.625,0.009316365580528983
union_strongtrend_t008__hold8_t35_s12,maker_optimistic,16,0.11438847486618467,0.6875,0.007149279679136542,-0.025034130707039883,0.02019585670114667,5.9375,8,0.05219257563179271,0.625,0.006524071953974089
union_strongtrend_t008__shared_default,maker_optimistic,16,0.11091697632668564,0.6875,0.006932311020417852,-0.03094778037975014,0.021172743233293823,7.8125,8,0.05543574380948742,0.625,0.006929467976185927
baseline_tc15_tighter_volume_cap,maker_optimistic,5,0.11086452854374788,0.8,0.022172905708749576,-0.015279678758242961,0.03640156141248547,8.0,2,0.06733759673462,1.0,0.03366879836731
union_base__hold8_t30_s10,maker_optimistic,36,0.1012190520412411,0.4444444444444444,0.002811640334478919,-0.0351500443160927,0.011889030691726974,4.777777777777778,12,0.07544902030297629,0.5,0.006287418358581358
union_strongtrend_t008__hold12_t35_s12,maker_optimistic,16,0.09998666816817371,0.6875,0.006249166760510857,-0.025034130707039973,0.021172743233293823,7.75,8,0.04443904380948756,0.625,0.005554880476185945
union_strongtrend_t008_vwap_0025__hold8_t35_s12,maker_optimistic,7,0.0890960460320091,0.7142857142857143,0.0127280065760013,-0.012596399999999865,0.023354274153578963,6.0,3,0.07938770343687293,1.0,0.026462567812290977
union_strongtrend_t009_vwap_003__hold8_t35_s12,maker_optimistic,9,0.0879931813841022,0.6666666666666666,0.009777020153789133,-0.012596399999999898,0.020720175306305242,5.777777777777778,5,0.07828483878896605,0.8,0.01565696775779321
union_strongtrend_t008_vwap_003_score43__shared_default,maker_optimistic,5,0.08650560098043861,0.8,0.017301120196087722,0.0,0.028249622737135306,6.8,4,0.09916839282192644,1.0,0.02479209820548161
union_strongtrend_t008_vwap_0025__shared_default,maker_optimistic,7,0.08622703737819828,0.7142857142857143,0.012318148196885469,-0.012662791841487832,0.02420944959410335,7.714285714285714,3,0.09063522558382175,1.0,0.030211741861273917
union_strongtrend_t008_vwap_003__hold8_t35_s12,maker_optimistic,9,0.08403986723936799,0.6666666666666666,0.009337763026596443,-0.012596399999999926,0.020005295817353046,5.777777777777778,5,0.07433152464423184,0.8,0.014866304928846368
union_strongtrend_t008_vwap_0025__hold8_t30_s10,maker_optimistic,7,0.08109844603200912,0.7142857142857143,0.011585492290287018,-0.01059700000000011,0.019596003138642838,5.857142857142857,3,0.06939070343687312,1.0,0.023130234478957706
union_base__hold12_t35_s12,maker_optimistic,35,0.08105269191581392,0.45714285714285713,0.0023157911975946834,-0.040987580380391936,0.013860031710602804,6.514285714285714,12,0.06521392982378059,0.5,0.005434494151981716
union_strongtrend_t009_vwap_003__shared_default,maker_optimistic,9,0.07964640164907584,0.6666666666666666,0.008849600183230649,-0.015595500000000045,0.021385311760046426,7.555555555555555,5,0.08405458985469931,0.8,0.01681091797093986
union_base__shared_default,maker_optimistic,35,0.07936452969098774,0.45714285714285713,0.0022675579911710783,-0.04686855623112935,0.013860031710602804,6.8,12,0.07621062982378045,0.5,0.006350885818648371
union_strongtrend_t008_vwap_003__shared_default,maker_optimistic,9,0.079164704616303,0.6666666666666666,0.008796078290700332,-0.015595499999999991,0.021553315830158546,7.555555555555555,5,0.08357289282192647,0.8,0.016714578564385293
union_strongtrend_t008_vwap_003__hold8_t30_s10,maker_optimistic,9,0.07804166723936787,0.6666666666666666,0.008671296359929763,-0.01059700000000011,0.017082196139069392,5.555555555555555,5,0.06633392464423186,0.8,0.013266784928846373
union_strongtrend_t008_vwap_003_score43__hold8_t35_s12,maker_optimistic,5,0.07433152464423173,0.8,0.014866304928846347,0.0,0.025463186714085408,5.2,4,0.08692792464423166,1.0,0.021731981161057914
union_strongtrend_t008_vwap_003_score43__hold12_t35_s12,maker_optimistic,5,0.06657799282192657,0.8,0.013315598564385314,0.0,0.028249622737135306,6.8,4,0.07917439282192648,1.0,0.01979359820548162
union_strongtrend_t008_vwap_003_score43__hold8_t30_s10,maker_optimistic,5,0.06633392464423175,0.8,0.01326678492884635,0.0,0.020201607293174828,5.0,4,0.07693092464423183,1.0,0.019232731161057958
union_strongtrend_t008_vwap_0025__hold12_t35_s12,maker_optimistic,7,0.06629942921968625,0.7142857142857143,0.00947134703138375,-0.012596399999999912,0.02420944959410335,7.714285714285714,3,0.0706412255838218,1.0,0.023547075194607265
union_strongtrend_t009_vwap_003__hold12_t35_s12,maker_optimistic,9,0.06271789349056396,0.6666666666666666,0.006968654832284885,-0.012596399999999912,0.021385311760046426,7.555555555555555,5,0.06705968985469951,0.8,0.013411937970939902
union_strongtrend_t008_vwap_003__hold12_t35_s12,maker_optimistic,9,0.06223619645779112,0.6666666666666666,0.0069151329397545685,-0.012596399999999912,0.021553315830158546,7.555555555555555,5,0.06657799282192667,0.8,0.013315598564385333
union_strongtrend_t009_vwap_003__hold8_t30_s10,maker_optimistic,9,0.05990444603200906,0.5555555555555556,0.006656049559112118,-0.010696649695468399,0.01617745569389599,5.0,5,0.04819670343687305,0.6,0.00963934068737461
union_strongtrend_t008_vwap_003_close075__hold8_t35_s12,maker_optimistic,8,0.04965036723936809,0.625,0.006206295904921011,-0.0125963999999999,0.016235394491024603,6.375,4,0.039942024644231924,0.75,0.009985506161057981
union_strongtrend_t008_vwap_003_close075__hold8_t30_s10,maker_optimistic,8,0.04865066723936777,0.625,0.006081333404920971,-0.01059700000000011,0.012946907352955495,6.125,4,0.03694292464423177,0.75,0.009235731161057942
union_strongtrend_t008_vwap_003_close075__shared_default,maker_optimistic,8,0.03477820461630304,0.625,0.00434727557703788,-0.015595499999999998,0.01797691700543079,8.375,4,0.03918639282192652,0.75,0.00979659820548163
union_strongtrend_t008_vwap_003_close075__hold12_t35_s12,maker_optimistic,8,0.027846696457791226,0.625,0.003480837057223903,-0.012596399999999912,0.01797691700543079,8.375,4,0.032188492821926776,0.75,0.008047123205481694
union_base__hold8_t35_s12,maker_optimistic,36,0.02655078842402995,0.4444444444444444,0.0007375219006674986,-0.05790733567331338,0.012619805611297889,5.166666666666667,12,0.05311067129053713,0.5,0.0044258892742114276
baseline_tc15_tighter_volume_cap,taker_like,5,0.07655792414979742,0.8,0.015311584829959484,-0.02115350000000003,0.03350860520477432,8.0,2,0.053097385071346426,1.0,0.026548692535673213
union_strongtrend_t008_vwap_003_score43__shared_default,taker_like,5,0.049908130159957195,0.6,0.00998162603199144,-0.006534218041987991,0.025937690782530463,6.8,4,0.07088625257079607,0.75,0.01772156314269902
union_strongtrend_t008_vwap_0025__shared_default,taker_like,7,0.03285903361752594,0.2857142857142857,0.004694147659646563,-0.03248058262065244,0.02174928963112498,7.714285714285714,3,0.07078678195801189,0.6666666666666666,0.02359559398600396
union_strongtrend_t008_vwap_003_score43__hold8_t35_s12,taker_like,5,0.023220816251628015,0.6,0.004644163250325603,-0.018162799999999923,0.02209331503234674,4.4,4,0.041383616251627904,0.75,0.010345904062906976
union_strongtrend_t008_vwap_0025__hold8_t35_s12,taker_like,7,0.017369376162494135,0.5714285714285714,0.0024813394517848764,-0.031913382722853184,0.01927088435514746,5.428571428571429,3,0.05954641625162786,1.0,0.01984880541720929
union_strongtrend_t008_vwap_003_score43__hold12_t35_s12,taker_like,5,0.014523181958012027,0.4,0.0029046363916024054,-0.024578338346534844,0.023287218721330053,5.2,4,0.032685981958011916,0.5,0.008171495489502979
union_strongtrend_t009_vwap_003__shared_default,taker_like,9,0.012284011289125138,0.3333333333333333,0.0013648901432361264,-0.03248058262065244,0.018844420760328412,7.555555555555555,5,0.050211759629611066,0.6,0.010042351925922214
union_strongtrend_t008_vwap_003__shared_default,taker_like,9,0.011805004230310306,0.3333333333333333,0.001311667136701145,-0.03248058262065244,0.01901195587281285,7.555555555555555,5,0.049732752570796235,0.6,0.009946550514159247
union_strongtrend_t008_vwap_0025__hold12_t35_s12,taker_like,7,0.001992662883538561,0.2857142857142857,0.0002846661262197944,-0.043093058252140305,0.020123672704421253,6.714285714285714,3,0.050848781958011874,0.6666666666666666,0.016949593986003958
union_strongtrend_t008_vwap_003_score43__hold8_t30_s10,taker_like,6,0.0010704162516278135,0.5,0.00017840270860463558,-0.016169000000000135,0.01577383518099572,3.1666666666666665,5,0.017239416251627813,0.6,0.0034478832503255625
union_strongtrend_t008_vwap_0025__hold8_t30_s10,taker_like,8,-0.0047810238375062195,0.5,-0.0005976279796882774,-0.02797763679626649,0.014884078301284102,4.375,4,0.0334084162516278,0.75,0.00835210406290695
union_strongtrend_t008__shared_default,taker_like,16,-0.009840443867422829,0.375,-0.0006150277417139268,-0.04717523847024415,0.018586976530341213,7.75,8,0.002076505456630205,0.375,0.00025956318207877565
union_strongtrend_t008__hold8_t30_s10,taker_like,17,-0.010866629985404561,0.5294117647058824,-0.0006392135285532095,-0.03405174988742516,0.014663152852466962,4.352941176470588,9,-0.007560583748372096,0.4444444444444444,-0.0008400648609302329
union_strongtrend_t008_vwap_003__hold8_t35_s12,taker_like,9,-0.018956223837505736,0.4444444444444444,-0.002106247093056193,-0.0474402117162473,0.01561182284638566,4.777777777777778,5,0.02322081625162799,0.6,0.0046441632503255986
union_strongtrend_t009_vwap_003__hold8_t35_s12,taker_like,9,-0.018956223837505757,0.4444444444444444,-0.002106247093056195,-0.04744021171624741,0.01561182284638566,4.666666666666667,5,0.02322081625162797,0.6,0.004644163250325594
union_strongtrend_t008_vwap_003_close075__shared_default,taker_like,8,-0.026855495769689652,0.25,-0.0033569369712112065,-0.03248058262065244,0.015484308723489467,8.375,4,0.01107225257079629,0.5,0.0027680631426990725
union_strongtrend_t008_vwap_003__hold12_t35_s12,taker_like,9,-0.03433293711646132,0.2222222222222222,-0.0038147707907179246,-0.06047316765371831,0.016275102673598614,5.777777777777778,5,0.014523181958012003,0.4,0.0029046363916024006
union_strongtrend_t009_vwap_003__hold12_t35_s12,taker_like,9,-0.03433293711646135,0.2222222222222222,-0.0038147707907179276,-0.06047316765371842,0.016275102673598614,5.666666666666667,5,0.014523181958011975,0.4,0.002904636391602395
union_strongtrend_t008_vwap_003__hold8_t30_s10,taker_like,10,-0.03711902383750623,0.4,-0.0037119023837506233,-0.0416253790212841,0.012468284154171156,4.0,6,0.0010704162516277822,0.5,0.00017840270860463038
union_strongtrend_t009_vwap_003__hold8_t30_s10,taker_like,10,-0.03711902383750634,0.4,-0.003711902383750634,-0.041625379021284215,0.012468284154171156,3.9,6,0.0010704162516276781,0.5,0.00017840270860461303
union_strongtrend_t008__hold8_t35_s12,taker_like,16,-0.04198080127876756,0.5,-0.0026238000799229727,-0.052280761800908855,0.01656857266048111,5.3125,8,-0.018454030862538218,0.375,-0.002306753857817277
union_strongtrend_t008_vwap_003_close075__hold8_t35_s12,taker_like,8,-0.04764772383750561,0.375,-0.005955965479688201,-0.0474402117162473,0.011659159068758878,5.25,4,-0.005470683748371886,0.5,-0.0013676709370929714
union_strongtrend_t008__hold12_t35_s12,taker_like,16,-0.04999698521419461,0.3125,-0.003124811575887163,-0.05901804219825943,0.017047496605783204,6.6875,8,-0.027151665156154213,0.25,-0.0033939581445192766
union_strongtrend_t008_vwap_003_close075__hold8_t30_s10,taker_like,9,-0.06082602383750607,0.3333333333333333,-0.00675844709305623,-0.057121338267889024,0.008605523163812405,4.333333333333333,5,-0.022636583748372057,0.4,-0.004527316749674411
union_strongtrend_t008_vwap_003_close075__hold12_t35_s12,taker_like,8,-0.06302443711646119,0.125,-0.007878054639557649,-0.06047316765371831,0.012405348874373447,6.375,4,-0.014168318041987874,0.25,-0.0035420795104969685
union_base__shared_default,taker_like,35,-0.18921052033123759,0.2571428571428571,-0.005406014866606788,-0.18624640728255998,0.011777955117241636,6.514285714285714,12,-0.010808800241939422,0.3333333333333333,-0.0009007333534949519
union_base__hold12_t35_s12,taker_like,35,-0.197045107114055,0.2571428571428571,-0.005629860203258715,-0.18105054836150697,0.01145283173190089,6.228571428571429,12,-0.022668516290769658,0.3333333333333333,-0.0018890430242308048
union_base__hold8_t30_s10,taker_like,37,-0.2320900895287901,0.2972972972972973,-0.006272705122399733,-0.20208170709214254,0.009153064514907614,4.1891891891891895,13,-0.031791473053963584,0.46153846153846156,-0.002445497927227968
union_base__hold8_t35_s12,taker_like,36,-0.2669212949527996,0.2777777777777778,-0.007414480415355544,-0.23704144259692134,0.010204322117067888,4.972222222222222,12,-0.03470418576274076,0.4166666666666667,-0.0028920154802283965
