pair,candidate,signals,fills,missed_entries,fill_rate,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,verdict
GIGAUSD,baseline_tc15_tighter_volume_cap,5,5,0,1.0,5,0.07655792414979742,0.8,0.015311584829959484,-0.02115350000000003,0.03350860520477432,8.0,2,0.053097385071346426,1.0,0.026548692535673213,BASELINE
GIGAUSD,breakout_hold_pause__flat__runner,3,2,1,0.6666666666666666,2,0.019954811585565814,0.5,0.009977405792782907,0.0,0.026138578125247346,3.0,1,0.027969999999999978,1.0,0.027969999999999978,KILL
GIGAUSD,breakout_hold_pause__flat__quick,3,2,1,0.6666666666666666,2,0.011962811585565987,0.5,0.005981405792782993,0.0,0.026138578125247346,3.0,1,0.01997800000000015,1.0,0.01997800000000015,KILL
GIGAUSD,nr_pause__flat__runner,3,3,0,1.0,3,0.011490801383080063,0.3333333333333333,0.003830267127693354,-0.008464010202485673,0.0174257187501649,2.3333333333333335,2,0.019505989797514226,0.5,0.009752994898757113,KILL
GIGAUSD,breakout_hold_pause__flat__tight,3,2,1,0.6666666666666666,2,0.00796681158556597,0.5,0.003983405792782985,0.0,0.026138578125247346,3.0,1,0.01598200000000013,1.0,0.01598200000000013,KILL
GIGAUSD,nr_pause__flat__quick,3,3,0,1.0,3,0.0034988013830802352,0.3333333333333333,0.0011662671276934117,-0.008464010202485705,0.0174257187501649,2.3333333333333335,2,0.011513989797514397,0.5,0.0057569948987571985,KILL
GIGAUSD,inside_pause__flat__quick,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__flat__runner,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__flat__tight,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__flat__quick,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__flat__runner,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__flat__tight,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__flat__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__5bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,higher_low_pause__10bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__flat__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__5bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,ema_pause__10bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__flat__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__5bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,hybrid_pause__10bps__tight,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,nr_pause__flat__tight,3,3,0,1.0,3,-0.0004971986169197817,0.3333333333333333,-0.00016573287230659388,-0.00846401020248572,0.0174257187501649,2.3333333333333335,2,0.00751798979751438,0.5,0.00375899489875719,KILL
GIGAUSD,inside_pause_strong__10bps__quick,1,1,0,1.0,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__10bps__runner,1,1,0,1.0,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__10bps__tight,1,1,0,1.0,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__10bps__quick,2,1,1,0.5,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__10bps__runner,2,1,1,0.5,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__10bps__tight,2,1,1,0.5,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__10bps__quick,3,1,2,0.3333333333333333,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__10bps__runner,3,1,2,0.3333333333333333,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__10bps__tight,3,1,2,0.3333333333333333,1,-0.007021209624058234,0.0,-0.007021209624058234,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__5bps__quick,1,1,0,1.0,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__5bps__runner,1,1,0,1.0,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause_strong__5bps__tight,1,1,0,1.0,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__5bps__quick,2,1,1,0.5,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__5bps__runner,2,1,1,0.5,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,inside_pause__5bps__tight,2,1,1,0.5,1,-0.007182496748534463,0.0,-0.007182496748534463,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__5bps__quick,3,1,2,0.3333333333333333,1,-0.007518447638253475,0.0,-0.007518447638253475,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__5bps__runner,3,1,2,0.3333333333333333,1,-0.007518447638253475,0.0,-0.007518447638253475,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,breakout_hold_pause__5bps__tight,3,1,2,0.3333333333333333,1,-0.007518447638253475,0.0,-0.007518447638253475,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL
GIGAUSD,score_pause__flat__quick,4,1,3,0.25,1,-0.007557170558997808,0.0,-0.007557170558997808,0.0,0.0,1.0,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__flat__runner,4,1,3,0.25,1,-0.007557170558997808,0.0,-0.007557170558997808,0.0,0.0,1.0,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__flat__tight,4,1,3,0.25,1,-0.007557170558997808,0.0,-0.007557170558997808,0.0,0.0,1.0,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__10bps__quick,4,2,2,0.5,2,-0.014578380183056043,0.0,-0.007289190091528021,-0.007557170558997841,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__10bps__runner,4,2,2,0.5,2,-0.014578380183056043,0.0,-0.007289190091528021,-0.007557170558997841,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__10bps__tight,4,2,2,0.5,2,-0.014578380183056043,0.0,-0.007289190091528021,-0.007557170558997841,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__5bps__quick,4,2,2,0.5,2,-0.014739667307532272,0.0,-0.007369833653766136,-0.007557170558997883,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__5bps__runner,4,2,2,0.5,2,-0.014739667307532272,0.0,-0.007369833653766136,-0.007557170558997883,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,score_pause__5bps__tight,4,2,2,0.5,2,-0.014739667307532272,0.0,-0.007369833653766136,-0.007557170558997883,0.0,0.5,1,-0.007557170558997808,0.0,-0.007557170558997808,KILL
GIGAUSD,nr_pause__10bps__quick,3,2,1,0.6666666666666666,2,-0.015485219826543986,0.0,-0.007742609913271993,-0.008464010202485734,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
GIGAUSD,nr_pause__10bps__runner,3,2,1,0.6666666666666666,2,-0.015485219826543986,0.0,-0.007742609913271993,-0.008464010202485734,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
GIGAUSD,nr_pause__10bps__tight,3,2,1,0.6666666666666666,2,-0.015485219826543986,0.0,-0.007742609913271993,-0.008464010202485734,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
GIGAUSD,nr_pause__5bps__quick,3,2,1,0.6666666666666666,2,-0.015982457840739227,0.0,-0.007991228920369613,-0.008464010202485767,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
GIGAUSD,nr_pause__5bps__runner,3,2,1,0.6666666666666666,2,-0.015982457840739227,0.0,-0.007991228920369613,-0.008464010202485767,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
GIGAUSD,nr_pause__5bps__tight,3,2,1,0.6666666666666666,2,-0.015982457840739227,0.0,-0.007991228920369613,-0.008464010202485767,0.0,0.5,1,-0.008464010202485751,0.0,-0.008464010202485751,KILL
