label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
giga5_union::trend_t008__score_43__hold8_t30_s10,maker_mid,11,0.10889911537153839,0.7272727272727273,0.009899919579230762,-0.011990000000000145,0.019140824277508878,4.454545454545454,7,0.07385465229309436,0.7142857142857143,0.010550664613299194,giga5_union,trend_t008,score_43__hold8_t30_s10
giga5_union::trend_t008__hold8_t30_s10,maker_mid,16,0.10281151337615209,0.625,0.0064257195860095056,-0.023836239899999914,0.017170346121540545,5.0,8,0.06186465229309448,0.625,0.00773308153663681,giga5_union,trend_t008,hold8_t30_s10
baseline_tc15_tighter_volume_cap,maker_mid,5,0.10204504257173018,0.8,0.020409008514346037,-0.01698500000000024,0.03567680507583354,8.0,2,0.0637745468546427,1.0,0.03188727342732135,baseline_tc15_tighter_volume_cap,baseline,baseline
giga5_union::trend_t009__hold8_t35_s12,maker_mid,16,0.08832818181922639,0.6875,0.005520511363701649,-0.027780335855999837,0.019737438374039143,5.8125,8,0.042788573442219154,0.625,0.005348571680277394,giga5_union,trend_t009,hold8_t35_s12
giga5_union::trend_t008__score_43__shared_default,maker_mid,11,0.0853953843549319,0.5454545454545454,0.007763216759539263,-0.016985000000000104,0.022950711031063775,6.909090909090909,7,0.059072105599759686,0.5714285714285714,0.008438872228537097,giga5_union,trend_t008,score_43__shared_default
giga5_union::trend_t009__hold8_t30_s10,maker_mid,16,0.08492731273524384,0.5625,0.00530795704595274,-0.02383623990000025,0.016514952345762893,4.6875,8,0.04444442082560501,0.5,0.005555552603200627,giga5_union,trend_t009,hold8_t30_s10
giga5_union::trend_t008__hold8_t35_s12,maker_mid,16,0.0848443676178338,0.6875,0.005302772976114613,-0.027780335855999753,0.019526139318838235,5.8125,8,0.038840790067407795,0.625,0.004855098758425974,giga5_union,trend_t008,hold8_t35_s12
giga5_union::trend_t008__shared_default,maker_mid,16,0.08069519221162423,0.5625,0.0050434495132265144,-0.03368150977500006,0.02050234271355032,7.75,8,0.04208710559975963,0.5,0.005260888199969954,giga5_union,trend_t008,shared_default
giga5_union::trend_t008__vwap_003__score_43__shared_default,maker_mid,5,0.07734745068572785,0.6,0.01546949013714557,-0.00023982052033618423,0.027670427196759762,6.8,4,0.09209196782544612,0.75,0.02302299195636153,giga5_union,trend_t008,vwap_003__score_43__shared_default
giga5_union::trend_t008__vwap_0025__hold8_t35_s12,maker_mid,7,0.07641163618131686,0.7142857142857143,0.010915948025902409,-0.013988000000000134,0.022738541893931197,6.0,3,0.07442442082560471,1.0,0.024808140275201573,giga5_union,trend_t008,vwap_0025__hold8_t35_s12
coq3_momaccel::base__hold12_t35_s12,maker_mid,8,0.07590799999999956,0.5,0.009488499999999945,-0.027780335855999972,0.033008904849594796,2.625,5,0.023965999999999776,0.4,0.004793199999999955,coq3_momaccel,base,hold12_t35_s12
coq3_momaccel::base__hold8_t35_s12,maker_mid,8,0.07590799999999956,0.5,0.009488499999999945,-0.027780335855999972,0.033008904849594796,2.625,5,0.023965999999999776,0.4,0.004793199999999955,coq3_momaccel,base,hold8_t35_s12
giga5_union::trend_t008__vwap_0025__shared_default,maker_mid,7,0.07287039517731733,0.5714285714285714,0.010410056453902475,-0.014980801622281869,0.023593119309672,7.714285714285714,3,0.08567017947966371,0.6666666666666666,0.028556726493221236,giga5_union,trend_t008,vwap_0025__shared_default
giga5_union::trend_t008__score_43__hold12_t35_s12,maker_mid,11,0.07216590149465013,0.5454545454545454,0.006560536499513648,-0.014993923365685577,0.022950711031063775,6.818181818181818,7,0.045086105599759736,0.5714285714285714,0.006440872228537105,giga5_union,trend_t008,score_43__hold12_t35_s12
giga5_union::trend_t009__vwap_003__hold8_t35_s12,maker_mid,9,0.07180165102361755,0.6666666666666666,0.007977961224846394,-0.013988000000000134,0.020084085051623356,5.666666666666667,5,0.0698144356679054,0.8,0.01396288713358108,giga5_union,trend_t009,vwap_003__hold8_t35_s12
giga5_union::trend_t008__score_43__hold8_t35_s12,maker_mid,11,0.07173248447707609,0.7272727272727273,0.006521134952461463,-0.013988000000000092,0.021530778820573474,5.2727272727272725,7,0.05282879006740764,0.7142857142857143,0.0075469700096296635,giga5_union,trend_t008,score_43__hold8_t35_s12
coq3_momaccel::trend_t008__hold12_t35_s12,maker_mid,5,0.07091899999999982,0.6,0.014183799999999963,-0.013988000000000075,0.044151801073944036,2.2,2,0.018977000000000032,0.5,0.009488500000000016,coq3_momaccel,trend_t008,hold12_t35_s12
coq3_momaccel::trend_t008__hold8_t35_s12,maker_mid,5,0.07091899999999982,0.6,0.014183799999999963,-0.013988000000000075,0.044151801073944036,2.2,2,0.018977000000000032,0.5,0.009488500000000016,coq3_momaccel,trend_t008,hold8_t35_s12
coq3_momaccel::trend_t009__hold12_t35_s12,maker_mid,5,0.07091899999999982,0.6,0.014183799999999963,-0.013988000000000075,0.044151801073944036,2.2,2,0.018977000000000032,0.5,0.009488500000000016,coq3_momaccel,trend_t009,hold12_t35_s12
coq3_momaccel::trend_t009__hold8_t35_s12,maker_mid,5,0.07091899999999982,0.6,0.014183799999999963,-0.013988000000000075,0.044151801073944036,2.2,2,0.018977000000000032,0.5,0.009488500000000016,coq3_momaccel,trend_t009,hold8_t35_s12
giga5_union::trend_t008__hold12_t35_s12,maker_mid,16,0.0704627093513427,0.5625,0.004403919334458919,-0.02778033585599995,0.02050234271355032,7.625,8,0.031098105599759895,0.5,0.003887263199969987,giga5_union,trend_t008,hold12_t35_s12
giga5_union::trend_t009__shared_default,maker_mid,16,0.06885268455330357,0.5625,0.004303292784581473,-0.03368150977500013,0.02021705276300672,7.75,8,0.04256812872821747,0.5,0.005321016091027184,giga5_union,trend_t009,shared_default
giga5_union::trend_t008__vwap_003__hold8_t35_s12,maker_mid,9,0.06785386764880619,0.6666666666666666,0.007539318627645132,-0.013988000000000134,0.019369705478397697,5.666666666666667,5,0.06586665229309405,0.8,0.01317333045861881,giga5_union,trend_t008,vwap_003__hold8_t35_s12
giga5_union::trend_t008__vwap_003__score_43__hold8_t35_s12,maker_mid,5,0.06586665229309394,0.8,0.013173330458618788,0.0,0.024885939730369337,5.2,4,0.07985465229309405,1.0,0.019963663073273512,giga5_union,trend_t008,vwap_003__score_43__hold8_t35_s12
coq3_momaccel::base__hold8_t30_s10,maker_mid,8,0.06392000000000024,0.5,0.00799000000000003,-0.02383623989999992,0.033008904849594796,2.625,5,0.019970000000000168,0.4,0.003994000000000034,coq3_momaccel,base,hold8_t30_s10
giga5_union::trend_t009__vwap_003__shared_default,maker_mid,9,0.0627882066515576,0.5555555555555556,0.006976467405728622,-0.016984999999999993,0.020748756374977317,7.555555555555555,5,0.07558799095390396,0.6,0.015117598190780793,giga5_union,trend_t009,vwap_003__shared_default
giga5_union::score_43__hold8_t30_s10,maker_mid,21,0.062338014986814065,0.47619047619047616,0.002968476904134003,-0.028554053114933413,0.013322355012460945,3.9047619047619047,10,0.07214763062622905,0.6,0.007214763062622904,giga5_union,score_43,hold8_t30_s10
giga5_union::trend_t008__vwap_003__shared_default,maker_mid,9,0.06230718352309976,0.5555555555555556,0.006923020391455529,-0.016984999999999962,0.020916642959725708,7.555555555555555,5,0.07510696782544612,0.6,0.015021393565089225,giga5_union,trend_t008,vwap_003__shared_default
coq3_momaccel::trend_t008__hold8_t30_s10,maker_mid,5,0.059930000000000205,0.6,0.011986000000000042,-0.011990000000000008,0.044151801073944036,2.2,2,0.01598000000000013,0.5,0.007990000000000065,coq3_momaccel,trend_t008,hold8_t30_s10
coq3_momaccel::trend_t009__hold8_t30_s10,maker_mid,5,0.059930000000000205,0.6,0.011986000000000042,-0.011990000000000008,0.044151801073944036,2.2,2,0.01598000000000013,0.5,0.007990000000000065,coq3_momaccel,trend_t009,hold8_t30_s10
giga5_union::trend_t009__hold12_t35_s12,maker_mid,16,0.058620201693022025,0.5625,0.0036637626058138766,-0.027780335855999906,0.02021705276300672,7.625,8,0.031579128728217734,0.5,0.003947391091027217,giga5_union,trend_t009,hold12_t35_s12
giga5_union::trend_t008__vwap_003__score_43__hold12_t35_s12,maker_mid,5,0.05812396782544604,0.6,0.01162479356508921,-0.00023982052033622833,0.027670427196759762,6.8,4,0.07211196782544615,0.75,0.01802799195636154,giga5_union,trend_t008,vwap_003__score_43__hold12_t35_s12
giga5_union::trend_t008__vwap_003__score_43__hold8_t30_s10,maker_mid,5,0.0578746522930943,0.8,0.011574930458618859,0.0,0.01962803973562723,5.0,4,0.06986465229309433,1.0,0.01746616307327358,giga5_union,trend_t008,vwap_003__score_43__hold8_t30_s10
giga5_union::score_43__shared_default,maker_mid,20,0.05723758847504671,0.4,0.0028618794237523356,-0.032467160588218864,0.01639653808922691,6.25,10,0.07172126346764532,0.5,0.007172126346764532,giga5_union,score_43,shared_default
coq3_momaccel::score_43__hold12_t35_s12,maker_mid,6,0.056930999999999676,0.5,0.009488499999999947,-0.013988000000000018,0.0353447945810759,2.8333333333333335,4,0.03795399999999974,0.5,0.009488499999999934,coq3_momaccel,score_43,hold12_t35_s12
coq3_momaccel::score_43__hold8_t35_s12,maker_mid,6,0.056930999999999676,0.5,0.009488499999999947,-0.013988000000000018,0.0353447945810759,2.8333333333333335,4,0.03795399999999974,0.5,0.009488499999999934,coq3_momaccel,score_43,hold8_t35_s12
giga5_union::score_43__hold12_t35_s12,maker_mid,20,0.05431052389032609,0.4,0.0027155261945163043,-0.028772188365646472,0.01639653808922691,5.8,10,0.05773526346764539,0.5,0.005773526346764539,giga5_union,score_43,hold12_t35_s12
giga5_union::trend_t008__vwap_0025__hold12_t35_s12,maker_mid,7,0.05364691231703554,0.5714285714285714,0.0076638446167193635,-0.014224465910897913,0.023593119309672,7.714285714285714,3,0.06569017947966371,0.6666666666666666,0.021896726493221236,giga5_union,trend_t008,vwap_0025__hold12_t35_s12
coq3_momaccel::trend_t008__score_43__hold12_t35_s12,maker_mid,3,0.05194199999999994,0.6666666666666666,0.01731399999999998,0.0,0.05625217801980575,2.3333333333333335,1,0.032964999999999994,1.0,0.032964999999999994,coq3_momaccel,trend_t008,score_43__hold12_t35_s12
coq3_momaccel::trend_t008__score_43__hold8_t35_s12,maker_mid,3,0.05194199999999994,0.6666666666666666,0.01731399999999998,0.0,0.05625217801980575,2.3333333333333335,1,0.032964999999999994,1.0,0.032964999999999994,coq3_momaccel,trend_t008,score_43__hold8_t35_s12
coq3_momaccel::trend_t008__shared_default,maker_mid,5,0.05122712073320597,0.4,0.010245424146641193,-0.01768538448252424,0.044556235349346066,3.4,2,-0.017697879266793736,0.0,-0.008848939633396868,coq3_momaccel,trend_t008,shared_default
coq3_momaccel::trend_t009__shared_default,maker_mid,5,0.05122712073320597,0.4,0.010245424146641193,-0.01768538448252424,0.044556235349346066,3.4,2,-0.017697879266793736,0.0,-0.008848939633396868,coq3_momaccel,trend_t009,shared_default
coq3_momaccel::score_43__hold8_t30_s10,maker_mid,6,0.04794000000000022,0.5,0.007990000000000037,-0.011989999999999959,0.0353447945810759,2.8333333333333335,4,0.03196000000000018,0.5,0.007990000000000046,coq3_momaccel,score_43,hold8_t30_s10
giga5_union::trend_t008__vwap_0025__hold8_t30_s10,maker_mid,7,0.04722215104517324,0.5714285714285714,0.006746021577881891,-0.013513810019212188,0.01735387172867933,5.285714285714286,3,0.06443442082560501,1.0,0.02147814027520167,giga5_union,trend_t008,vwap_0025__hold8_t30_s10
giga5_union::vwap_0025__shared_default,maker_mid,23,0.04681911867551668,0.391304347826087,0.0020356138554572466,-0.08109235046062982,0.013407521493560793,7.3478260869565215,8,0.10444002609069561,0.5,0.013055003261336951,giga5_union,vwap_0025,shared_default
giga5_union::trend_t009__vwap_003__hold12_t35_s12,maker_mid,9,0.04656172379127581,0.5555555555555556,0.005173524865697312,-0.014224465910897913,0.020748756374977317,7.444444444444445,5,0.058604990953903986,0.6,0.011720998190780797,giga5_union,trend_t009,vwap_003__hold12_t35_s12
giga5_union::trend_t008__vwap_003__hold12_t35_s12,maker_mid,9,0.04608070066281797,0.5555555555555556,0.005120077851424219,-0.014224465910897913,0.020916642959725708,7.444444444444445,5,0.05812396782544616,0.6,0.011624793565089232,giga5_union,trend_t008,vwap_003__hold12_t35_s12
coq3_momaccel::trend_t008__score_43__hold8_t30_s10,maker_mid,3,0.043950000000000176,0.6666666666666666,0.014650000000000059,0.0,0.05625217801980575,2.3333333333333335,1,0.027970000000000144,1.0,0.027970000000000144,coq3_momaccel,trend_t008,score_43__hold8_t30_s10
coq3_momaccel::close_075__hold12_t35_s12,maker_mid,7,0.042942999999999565,0.42857142857142855,0.006134714285714223,-0.02778033585599988,0.03161533659338877,2.2857142857142856,4,-0.008999000000000222,0.25,-0.0022497500000000555,coq3_momaccel,close_075,hold12_t35_s12
coq3_momaccel::close_075__hold8_t35_s12,maker_mid,7,0.042942999999999565,0.42857142857142855,0.006134714285714223,-0.02778033585599988,0.03161533659338877,2.2857142857142856,4,-0.008999000000000222,0.25,-0.0022497500000000555,coq3_momaccel,close_075,hold8_t35_s12
giga5_union::trend_t008__vwap_003__hold8_t30_s10,maker_mid,9,0.04066238251266259,0.5555555555555556,0.004518042501406954,-0.013513810019212188,0.0151816286832018,5.111111111111111,5,0.05787465229309434,0.8,0.011574930458618867,giga5_union,trend_t008,vwap_003__hold8_t30_s10
coq3_momaccel::close_075__hold8_t30_s10,maker_mid,7,0.0359500000000001,0.42857142857142855,0.0051357142857143,-0.02383623989999987,0.03161533659338877,2.2857142857142856,4,-0.007999999999999976,0.25,-0.001999999999999994,coq3_momaccel,close_075,hold8_t30_s10
coq3_momaccel::close_075__shared_default,maker_mid,7,0.03497398886269858,0.42857142857142855,0.004996284123242654,-0.033941464806982624,0.03216393510389653,3.4285714285714284,4,-0.03395101113730114,0.25,-0.008487752784325285,coq3_momaccel,close_075,shared_default
giga5_union::vwap_0025__hold12_t35_s12,maker_mid,23,0.03490105409079593,0.391304347826087,0.0015174371343824316,-0.07353861185019711,0.013407521493560793,6.956521739130435,8,0.08446002609069563,0.5,0.010557503261336953,giga5_union,vwap_0025,hold12_t35_s12
giga5_union::trend_t008__vwap_003__close_075__hold8_t35_s12,maker_mid,8,0.03488886764880615,0.625,0.004361108456100769,-0.013988000000000134,0.01561215295641555,6.25,4,0.03290165229309401,0.75,0.008225413073273503,giga5_union,trend_t008,vwap_003__close_075__hold8_t35_s12
coq3_momaccel::base__shared_default,maker_mid,8,0.03423732069702754,0.375,0.004279665087128443,-0.034653129376033986,0.03348892854628908,3.875,5,-0.03468767930297217,0.2,-0.006937535860594433,coq3_momaccel,base,shared_default
giga5_union::vwap_003__shared_default,maker_mid,24,0.029834118675516677,0.375,0.0012430882781465282,-0.08109235046062982,0.013170536719305547,7.125,9,0.0874550260906956,0.4444444444444444,0.009717225121188399,giga5_union,vwap_003,shared_default
coq3_momaccel::trend_t008__score_43__shared_default,maker_mid,3,0.02523333183432879,0.3333333333333333,0.00841111061144293,-0.0007366681656710418,0.05692623514547579,4.333333333333333,1,-0.000736668165671028,0.0,-0.000736668165671028,coq3_momaccel,trend_t008,score_43__shared_default
giga5_union::trend_t009__vwap_003__hold8_t30_s10,maker_mid,9,0.02324215104517312,0.4444444444444444,0.0025824612272414577,-0.017062622350485425,0.014355221001354466,4.555555555555555,5,0.04045442082560488,0.6,0.008090884165120975,giga5_union,trend_t009,vwap_003__hold8_t30_s10
giga5_union::vwap_003__hold12_t35_s12,maker_mid,24,0.020913054090795916,0.375,0.0008713772537831632,-0.07353861185019711,0.013170536719305547,6.708333333333333,9,0.07047202609069562,0.4444444444444444,0.007830225121188403,giga5_union,vwap_003,hold12_t35_s12
giga5_union::trend_t008__vwap_003__close_075__shared_default,maker_mid,8,0.01935218352309979,0.5,0.002419022940387474,-0.016985000000000087,0.017352457622909566,8.375,4,0.03215196782544616,0.5,0.00803799195636154,giga5_union,trend_t008,vwap_003__close_075__shared_default
coq3_momaccel::vwap_003__hold12_t35_s12,maker_mid,2,0.018976999999999775,0.5,0.009488499999999888,-0.013988000000000075,0.01949869966248498,4.5,2,0.018976999999999775,0.5,0.009488499999999888,coq3_momaccel,vwap_003,hold12_t35_s12
coq3_momaccel::vwap_003__hold8_t35_s12,maker_mid,2,0.018976999999999775,0.5,0.009488499999999888,-0.013988000000000075,0.01949869966248498,4.5,2,0.018976999999999775,0.5,0.009488499999999888,coq3_momaccel,vwap_003,hold8_t35_s12
coq3_momaccel::vwap_0025__hold12_t35_s12,maker_mid,2,0.018976999999999775,0.5,0.009488499999999888,-0.013988000000000075,0.01949869966248498,4.5,2,0.018976999999999775,0.5,0.009488499999999888,coq3_momaccel,vwap_0025,hold12_t35_s12
coq3_momaccel::vwap_0025__hold8_t35_s12,maker_mid,2,0.018976999999999775,0.5,0.009488499999999888,-0.013988000000000075,0.01949869966248498,4.5,2,0.018976999999999775,0.5,0.009488499999999888,coq3_momaccel,vwap_0025,hold8_t35_s12
coq3_momaccel::vwap_003__hold8_t30_s10,maker_mid,2,0.01597999999999998,0.5,0.00798999999999999,-0.011989999999999976,0.01949869966248498,4.5,2,0.01597999999999998,0.5,0.00798999999999999,coq3_momaccel,vwap_003,hold8_t30_s10
coq3_momaccel::vwap_0025__hold8_t30_s10,maker_mid,2,0.01597999999999998,0.5,0.00798999999999999,-0.011989999999999976,0.01949869966248498,4.5,2,0.01597999999999998,0.5,0.00798999999999999,coq3_momaccel,vwap_0025,hold8_t30_s10
giga5_union::base__hold12_t35_s12,maker_mid,35,0.015116937626429223,0.37142857142857144,0.0004319125036122635,-0.04704407933933676,0.013307997085614929,6.457142857142857,12,0.04344616386500939,0.4166666666666667,0.0036205136554174496,giga5_union,base,hold12_t35_s12
giga5_union::base__hold8_t30_s10,maker_mid,36,0.014122425773890173,0.3888888888888889,0.0003922896048302826,-0.04915705769677705,0.011017259122817896,4.638888888888889,12,0.05438370027157901,0.5,0.004531975022631584,giga5_union,base,hold8_t30_s10
giga5_union::trend_t008__vwap_003__close_075__hold12_t35_s12,maker_mid,8,0.013115700662817937,0.5,0.0016394625828522421,-0.014224465910897913,0.017352457622909566,8.25,4,0.02515896782544612,0.5,0.00628974195636153,giga5_union,trend_t008,vwap_003__close_075__hold12_t35_s12
giga5_union::trend_t008__vwap_003__close_075__hold8_t30_s10,maker_mid,8,0.012692382512662411,0.5,0.0015865478140828014,-0.013513810019212188,0.010900566561820169,5.625,4,0.029904652293094174,0.75,0.0074761630732735436,giga5_union,trend_t008,vwap_003__close_075__hold8_t30_s10
giga5_union::base__shared_default,maker_mid,35,0.012050002211149826,0.37142857142857144,0.0003442857774614236,-0.053555043208901136,0.013307997085614929,6.771428571428571,12,0.05443516386500912,0.4166666666666667,0.0045362636554174265,giga5_union,base,shared_default
coq3_momaccel::score_43__shared_default,maker_mid,6,0.008243531798150364,0.3333333333333333,0.0013739219663583939,-0.017997172110297336,0.03598482617666828,4.5,4,-0.017726468201849456,0.25,-0.004431617050462364,coq3_momaccel,score_43,shared_default
