pair,interval,strategy,trades_full,net_full,win_full,dd_full,trades_recent,net_recent,win_recent,score,keep
GIGAUSD,5,momentum_breakout_trail,45,-0.038388282432919474,0.4888888888888889,-0.1467793954483794,22,0.107206737322591,0.5909090909090909,0.11918190824204974,False
COQUSD,1,momentum_breakout_trail,48,-0.0024948769945257743,0.375,-0.11472321562685081,18,0.04522334072993894,0.5555555555555556,0.06522205343768744,False
DOGUSD,5,atr_squeeze_expand,16,-0.01928194600708033,0.4375,-0.058903491129702695,9,0.04943423091350374,0.6666666666666666,0.052110927472844466,False
COQUSD,5,bb_lower_bounce,1,0.014844199999999974,1.0,0.0,1,0.014844199999999974,1.0,0.037110499999999935,False
GIGAUSD,3,vwap_reclaim_trend,6,0.002528984702047654,0.5,-0.014862818604387663,3,0.01907811117314928,1.0,0.03244184728878458,False
HYPEUSD,3,momentum_breakout,7,0.030592696839685685,0.42857142857142855,-0.013132904257607377,2,-0.013143010445385794,0.0,0.017313769219054677,False
COQUSD,5,volume_climax_reversal,1,0.01683800000000013,1.0,0.0,0,0.0,0.0,0.01683800000000013,False
DOGUSD,1,breakout_asymmetric,1,0.012729038922258518,1.0,0.0,0,0.0,0.0,0.012729038922258518,False
GIGAUSD,3,rsi_oversold_trend,1,0.00874680388837401,1.0,0.0,0,0.0,0.0,0.00874680388837401,False
HYPEUSD,3,atr_squeeze_expand,5,0.006442166049636322,0.6,-0.005885499379857219,1,-0.002900075282115666,0.0,0.0068061531285575,False
GIGAUSD,1,vwap_reclaim_trend,3,1.579503570481311e-05,0.3333333333333333,-0.006180839397866611,2,0.0009154698120141802,0.5,0.0014026418089798259,False
GIGAUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,1,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,breakout_asymmetric,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,vwap_reclaim_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,vwap_reclaim_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,breakout_asymmetric,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,3,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,breakout_asymmetric,8,-0.017460776950726786,0.25,-0.03869683588600748,3,0.012691086354041259,0.3333333333333333,-0.0014141978164135078,False
COQUSD,3,breakout_asymmetric,10,-0.02459119392107445,0.3,-0.0676152270663652,4,0.017306305935842814,0.5,-0.0036067758237635344,False
GIGAUSD,5,vwap_reclaim_trend,1,-0.011098523053567844,0.0,0.0,0,0.0,0.0,-0.011098523053567844,False
COQUSD,1,rsi_oversold_trend,1,-0.013068999999999997,0.0,0.0,0,0.0,0.0,-0.013068999999999997,False
COQUSD,3,vwap_reclaim_trend,1,-0.013068999999999997,0.0,0.0,0,0.0,0.0,-0.013068999999999997,False
HYPEUSD,5,breakout_asymmetric,1,-0.013068999999999997,0.0,0.0,0,0.0,0.0,-0.013068999999999997,False
HYPEUSD,3,breakout_asymmetric,1,-0.013069000000000108,0.0,0.0,0,0.0,0.0,-0.013069000000000108,False
COQUSD,5,macd_trend_long,1,-0.015062800000000043,0.0,0.0,0,0.0,0.0,-0.015062800000000043,False
HYPEUSD,3,macd_trend_long,1,-0.015062800000000043,0.0,0.0,0,0.0,0.0,-0.015062800000000043,False
GIGAUSD,3,bb_squeeze_breakout,14,-0.031091341568904807,0.35714285714285715,-0.06089227222576889,4,0.014103711942395791,0.5,-0.01675780685263705,False
COQUSD,3,atr_squeeze_expand,10,-0.01909571832887824,0.4,-0.03159023777689723,3,0.003734135494766422,0.6666666666666666,-0.017695329409007633,False
GIGAUSD,5,deep_vwap_pullback,21,-0.02449714759378907,0.38095238095238093,-0.09872292291052069,9,0.006911394196335352,0.4444444444444444,-0.018174679816429222,False
DOGUSD,3,rsi_oversold_trend,1,-0.0074517078896852995,0.0,0.0,1,-0.0074517078896852995,0.0,-0.01862926972421325,False
COQUSD,5,atr_squeeze_expand,11,-0.04245594482642501,0.36363636363636365,-0.0730790396235144,2,0.018796935494766354,1.0,-0.021949844444070808,False
COQUSD,1,bb_squeeze_breakout,7,-0.030498037223198327,0.2857142857142857,-0.029898712056160143,2,0.00945027457732428,0.5,-0.023660278672634545,False
DOGUSD,5,triple_confluence,18,-0.025180371857526418,0.3888888888888889,-0.05221234966280459,12,0.0010808766465160158,0.4166666666666667,-0.027225330984743522,False
GIGAUSD,1,bb_squeeze_breakout,14,-0.008229837727121159,0.35714285714285715,-0.044256587091003906,4,-0.012522205225982352,0.25,-0.029209006871642157,False
COQUSD,3,bb_squeeze_breakout,7,-0.025330540861093764,0.42857142857142855,-0.04816894436326603,3,0.0012426111512428006,0.6666666666666666,-0.031130671269780284,False
DOGUSD,3,vwap_reclaim_trend,3,-0.012339132006587539,0.3333333333333333,-0.013069000000000068,2,-0.008207404280065389,0.5,-0.0325964212466435,False
GIGAUSD,1,rsi_oversold_trend,1,-0.013068999999999997,0.0,0.0,1,-0.013068999999999997,0.0,-0.03267249999999999,False
HYPEUSD,1,atr_squeeze_expand,5,-0.01644847875915112,0.2,-0.02847636630077759,1,-0.008072627140129573,0.0,-0.033331121601924245,False
GIGAUSD,5,breakout_asymmetric,2,-0.008830767552844287,0.5,-0.013068999999999959,1,-0.013068999999999997,0.0,-0.033536624373790284,False
DOGUSD,1,macd_trend_long,1,-0.015062800000000043,0.0,0.0,1,-0.015062800000000043,0.0,-0.03765700000000011,False
COQUSD,5,bb_squeeze_breakout,1,-0.015062800000000154,0.0,0.0,1,-0.015062800000000154,0.0,-0.037657000000000385,False
HYPEUSD,1,momentum_breakout,4,-0.031614113773164254,0.25,-0.018053500000000146,0,0.0,0.0,-0.04044342961864142,False
GIGAUSD,1,breakout_asymmetric,3,-0.007385800408523768,0.0,-0.004758553184065375,1,-0.0011822062169690728,0.0,-0.044479968750491206,False
GIGAUSD,3,breakout_asymmetric,3,-0.017283753760920728,0.3333333333333333,-0.013068999999999994,1,-0.013068999999999997,0.0,-0.044771010378182804,False
DOGUSD,5,vwap_reclaim_trend,2,-0.003361757990148373,0.0,-0.0012791419349709476,1,-0.0012791419349709177,0.0,-0.04712074807893422,False
COQUSD,1,red_streak_reversal,9,0.007681416690748288,0.5555555555555556,-0.03785936754094154,3,-0.03834720519008061,0.0,-0.04799746833164612,False
DOGUSD,5,bb_lower_bounce,9,-0.022719553029817985,0.4444444444444444,-0.028053937501855187,5,-0.01183376994533547,0.4,-0.048316297361994304,False
DOGUSD,1,vwap_reclaim_trend,3,-0.022599336604691822,0.3333333333333333,-0.013068999999999985,2,-0.009530336604691714,0.5,-0.05050261767311049,False
COQUSD,3,volume_climax_reversal,3,-0.021001216185308147,0.3333333333333333,-0.029898712056160064,1,-0.015062800000000043,0.0,-0.052278203047229445,False
COQUSD,3,bb_lower_bounce,3,-0.01129380000000002,0.3333333333333333,-0.02596720123900003,2,-0.026137999999999995,0.0,-0.05454684273247068,False
HYPEUSD,1,quiet_then_burst,18,-0.04235202232905355,0.3333333333333333,-0.06323801504609697,5,-0.005798814963597243,0.4,-0.05991457405576692,False
COQUSD,5,deep_vwap_pullback,14,-0.04125930148995327,0.35714285714285715,-0.044511153736200404,8,-0.009686744017240456,0.375,-0.06279297935366276,False
COQUSD,5,red_streak_reversal,5,-0.0354380000000003,0.2,-0.03869683588600765,1,-0.013069000000000108,0.0,-0.06689089980606605,False
COQUSD,1,volume_climax_reversal,4,-0.015965993016890057,0.25,-0.032497024571464805,3,-0.032803993016889965,0.0,-0.07047149638836105,False
HYPEUSD,1,rsi_oversold_trend,2,-0.010928878319967916,0.0,-0.006675646049896768,2,-0.010928878319967916,0.0,-0.07243785032180937,False
GIGAUSD,3,atr_squeeze_expand,24,-0.08017698834966136,0.375,-0.1217042094207221,12,0.009591426251502222,0.5833333333333334,-0.07774754258812012,False
GIGAUSD,3,triple_confluence,28,-0.09175604686449457,0.4642857142857143,-0.10340405054210432,13,0.015977462536070575,0.6153846153846154,-0.08217164593629872,False
GIGAUSD,5,bb_lower_bounce,6,-0.0447516197977581,0.16666666666666666,-0.0409338004271587,3,-0.012432780399891152,0.3333333333333333,-0.08383202733611322,False
DOGUSD,1,momentum_breakout,10,-0.08919778947778445,0.2,-0.08655605885241552,1,0.018633621541013,1.0,-0.0840875323343069,False
GIGAUSD,5,bb_squeeze_breakout,11,-0.06571428344336838,0.18181818181818182,-0.05384088246121955,2,-0.00044750452103570204,0.5,-0.09244407007201229,False
DOGUSD,1,bb_lower_bounce,8,-0.048398671676718186,0.125,-0.06159104301036105,3,-0.019547380844731177,0.0,-0.09658592978304206,False
GIGAUSD,1,quiet_then_burst,36,-0.08564783146994581,0.3611111111111111,-0.16530950797900662,13,0.0009222051710784385,0.46153846153846156,-0.09787384781917015,False
GIGAUSD,3,momentum_breakout_trail,48,-0.10494701078901425,0.3958333333333333,-0.19296179041816827,22,0.008628575844909947,0.36363636363636365,-0.10037901548926854,False
DOGUSD,5,momentum_breakout,11,-0.046028953543634454,0.45454545454545453,-0.05365449799046883,5,-0.03115898919822846,0.4,-0.10338369940019995,False
GIGAUSD,5,atr_squeeze_expand,11,-0.08269015310469874,0.2727272727272727,-0.08086187356829304,5,-0.0003961024799706836,0.6,-0.10737344666014297,False
GIGAUSD,3,momentum_breakout,16,-0.0640340127338771,0.375,-0.06497574452686196,7,-0.025298510859094514,0.2857142857142857,-0.11140770826026632,False
COQUSD,3,red_streak_reversal,9,-0.027899999999999703,0.3333333333333333,-0.05126010693781327,4,-0.0522760000000001,0.0,-0.11253327976727832,False
DOGUSD,3,bb_lower_bounce,13,-0.03893411612229403,0.3076923076923077,-0.0600067842036821,7,-0.04387486522959205,0.14285714285714285,-0.11693824659601064,False
COQUSD,3,momentum_breakout,16,-0.08546340453732781,0.375,-0.09243024629608587,5,-0.014126069505118521,0.6,-0.1204105835000832,False
HYPEUSD,1,momentum_breakout_trail,25,-0.08678463339801246,0.44,-0.13171757943460338,7,-0.01429543772308639,0.42857142857142855,-0.1207426470714493,False
GIGAUSD,3,deep_vwap_pullback,30,-0.10417708168185247,0.3,-0.15257141468064547,10,-0.00150140999206827,0.4,-0.12134480036774778,False
COQUSD,5,breakout_asymmetric,11,-0.10147364100008427,0.09090909090909091,-0.10456682578471595,3,0.003078358999915598,0.3333333333333333,-0.1262492411384793,False
GIGAUSD,3,red_streak_reversal,8,-0.0676325268278547,0.0,-0.053382628195236884,1,-0.010927438373876885,0.0,-0.1301752660586597,False
DOGUSD,1,atr_squeeze_expand,17,-0.09614176445330869,0.29411764705882354,-0.0788624579291995,5,-0.01418572485713987,0.4,-0.13937923645834885,False
COQUSD,5,rsi_momentum_thrust,28,-0.09903336499031645,0.32142857142857145,-0.12716853280218282,13,-0.019734449054355174,0.38461538461538464,-0.1394960714563222,False
GIGAUSD,1,volume_climax_reversal,10,-0.06749068615962972,0.3,-0.05150791975402885,5,-0.03248204299688018,0.4,-0.14090551932516424,False
DOGUSD,5,volume_climax_reversal,14,-0.07536485871886778,0.2857142857142857,-0.06026342040082922,5,-0.028311709538821672,0.0,-0.14450734512604546,False
COQUSD,1,ema_fast_bounce,55,-0.07260604342708388,0.38181818181818183,-0.14073551110540544,12,-0.04603505489075477,0.3333333333333333,-0.14812867738791421,False
DOGUSD,3,bb_squeeze_breakout,21,-0.09043337279903152,0.2857142857142857,-0.07432713870954596,7,-0.02766089346270706,0.42857142857142855,-0.14915874830052497,False
COQUSD,3,rsi_momentum_thrust,30,-0.15042628090612076,0.3333333333333333,-0.16496710178097093,12,0.00847333163698738,0.5,-0.1549155538879665,False
COQUSD,1,atr_squeeze_expand,22,-0.042337530162346315,0.3181818181818182,-0.09366374020518531,6,-0.07325592407681292,0.16666666666666666,-0.1567517294912884,False
DOGUSD,3,momentum_breakout,12,-0.10115752842518033,0.25,-0.0941520518528572,3,-0.019028742921023634,0.3333333333333333,-0.1576465455687799,False
GIGAUSD,5,momentum_breakout,11,-0.052826552909807534,0.2727272727272727,-0.07871850415001874,5,-0.06246421685061598,0.0,-0.15786300687551888,False
DOGUSD,1,red_streak_reversal,17,-0.07709158822736795,0.23529411764705882,-0.06834182250022727,7,-0.041255445156708426,0.14285714285714285,-0.16080794069209847,False
GIGAUSD,1,bb_lower_bounce,12,-0.07612117259006779,0.25,-0.06541873155638406,6,-0.04182114339981191,0.3333333333333333,-0.1693477443903469,False
DOGUSD,5,red_streak_reversal,17,-0.09897949590926103,0.29411764705882354,-0.08799527083614718,7,-0.02877375003556104,0.2857142857142857,-0.16992645086449507,False
GIGAUSD,5,quiet_then_burst,38,-0.12924572055382866,0.23684210526315788,-0.12040502070242445,17,-0.01941756981468401,0.23529411764705882,-0.1737963120925784,False
HYPEUSD,5,atr_squeeze_expand,12,-0.07335468605375028,0.25,-0.07604226555555697,6,-0.047077525563580136,0.16666666666666666,-0.1768656901396962,False
HYPEUSD,5,momentum_breakout,9,-0.07696117883071496,0.2222222222222222,-0.08487850699947641,4,-0.0547957141591604,0.0,-0.18518521253109094,False
GIGAUSD,5,red_streak_reversal,12,-0.09904350258700034,0.16666666666666666,-0.08319291916915086,4,-0.03500765684038987,0.0,-0.18533648385420737,False
DOGUSD,5,bb_squeeze_breakout,20,-0.09904962466424361,0.2,-0.08786566168040028,6,-0.04820345543963667,0.16666666666666666,-0.1871076214748914,False
COQUSD,5,momentum_breakout,20,-0.1434005449170056,0.35,-0.13708102306484374,5,-0.01412606950511841,0.6,-0.18747241289779523,False
DOGUSD,3,volume_climax_reversal,20,-0.09605274871668057,0.3,-0.0996031351687415,11,-0.04855491983024629,0.2727272727272727,-0.19198770070401705,False
GIGAUSD,5,triple_confluence,30,-0.12113779299432204,0.36666666666666664,-0.1594891747368442,13,-0.04035100326540286,0.38461538461538464,-0.19961374364399703,False
DOGUSD,1,triple_confluence,30,-0.11452607422037586,0.36666666666666664,-0.11546211758772403,13,-0.05367728952375028,0.3076923076923077,-0.20976335684315764,False
GIGAUSD,3,bb_lower_bounce,10,-0.09382444442239524,0.1,-0.07804538587804238,4,-0.04795983515511881,0.0,-0.21803854412592272,False
DOGUSD,1,volume_climax_reversal,21,-0.10224399423658681,0.19047619047619047,-0.10599673295968755,9,-0.05995492139224734,0.1111111111111111,-0.220768150202746,False
HYPEUSD,5,vwap_reclaim_trend,16,-0.09734959876140448,0.1875,-0.11033139901417462,8,-0.06920396238256876,0.125,-0.22835948592983898,False
HYPEUSD,3,triple_confluence,30,-0.10395728267498505,0.23333333333333334,-0.10439179458170504,12,-0.06524435530895523,0.08333333333333333,-0.22851232674312882,False
DOGUSD,3,atr_squeeze_expand,22,-0.11028870346296193,0.3181818181818182,-0.12055605616918436,10,-0.06867576485825788,0.3,-0.23136060500894418,False
COQUSD,1,deep_vwap_pullback,19,-0.14760291955632188,0.21052631578947367,-0.13401122186067568,7,-0.051874108267561114,0.2857142857142857,-0.250649717369057,False
COQUSD,3,triple_confluence,18,-0.1708426244663036,0.2222222222222222,-0.16031732761051445,5,-0.03588397179786651,0.4,-0.25413638220495893,False
GIGAUSD,1,momentum_breakout,14,-0.10706045982521184,0.14285714285714285,-0.09884428143451365,9,-0.07666624779678555,0.2222222222222222,-0.25788797417979953,False
GIGAUSD,5,volume_climax_reversal,12,-0.11660707745916687,0.0,-0.0980974049277227,5,-0.05900273623376173,0.0,-0.2645606521127763,False
COQUSD,3,deep_vwap_pullback,20,-0.14757615788619427,0.2,-0.16191789079999244,10,-0.07071875788619397,0.2,-0.2774555758865723,False
GIGAUSD,1,red_streak_reversal,21,-0.13666055202648786,0.23809523809523808,-0.12108577258199808,7,-0.0633195411562344,0.0,-0.27932327537322066,False
HYPEUSD,3,vwap_reclaim_trend,19,-0.12156588375264887,0.21052631578947367,-0.10376612990241169,10,-0.07599481378001038,0.1,-0.2834431686756536,False
GIGAUSD,3,volume_spike_trend,84,-0.1998278682564093,0.3333333333333333,-0.29036380467489575,35,-0.04793571542405517,0.37142857142857144,-0.2892214397265171,False
COQUSD,5,momentum_breakout_trail,47,-0.0898699885947265,0.3617021276595745,-0.15559286064475128,20,-0.13134249354246352,0.25,-0.29181217005437643,False
COQUSD,3,momentum_breakout_trail,49,-0.19262210808941227,0.32653061224489793,-0.22648380181061764,20,-0.06087415057084544,0.35,-0.29545726337670286,False
GIGAUSD,1,momentum_breakout_trail,47,-0.19871858811052068,0.2978723404255319,-0.20548397162529453,22,-0.055509962582529715,0.4090909090909091,-0.30286835703335035,False
COQUSD,1,triple_confluence,18,-0.18524932903807245,0.16666666666666666,-0.1661814100106142,6,-0.065352037750262,0.16666666666666666,-0.3099244288329634,False
GIGAUSD,3,volume_climax_reversal,11,-0.11690286364089864,0.0,-0.09734304790861684,6,-0.06116145973400411,0.0,-0.31014601962030486,False
DOGUSD,3,triple_confluence,25,-0.17092734839548918,0.32,-0.16378577295698943,11,-0.07290387931585651,0.2727272727272727,-0.31342376882983397,False
